,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,-1.72340e+01,261.695,262.9,263.625,265.268,266.357,263.506,260.832,256.658,251.429,245.47400000000002,238.139,231.791,226.46200000000002,220.24099999999999,214.104,210.515,208.257,205.729,203.51,201.675,199.104,199.56400000000002,199.38400000000001,198.607,196.843,193.68599999999998,194.66299999999998,192.908,188.33700000000002,187.937,186.893,183.96400000000003,181.99200000000002,180.378,179.174,178.33,177.79,177.873,177.80599999999998,178.997,179.828,180.347,179.195,176.583,176.135,174.94099999999997,174.08700000000002,173.676,174.56099999999998,178.077,182.766,189.609,198.761,208.581,217.80900000000003,225.96900000000002,232.44400000000002,238.547,242.084,246.58900000000003,250.558,255.40099999999998,259.38,261.695
21,-1.34043e+01,269.144,269.408,268.949,270.768,271.388,268.33299999999997,264.94599999999997,260.628,254.793,247.949,239.95,233.012,227.648,221.141,211.67,210.243,208.06799999999998,205.217,203.396,204.132,202.507,202.17,201.0,200.78799999999998,200.058,197.32,195.84400000000002,194.519,192.05,189.945,188.144,185.62099999999998,183.303,180.921,178.972,177.957,176.863,177.25099999999998,177.122,177.237,178.235,180.048,179.498,176.80900000000003,177.83700000000002,177.5,176.179,176.247,177.512,179.923,183.267,191.58,201.688,212.178,220.872,227.63299999999998,233.067,239.523,243.862,248.8,255.52900000000002,261.586,266.182,269.144
22,-9.57447e+00,275.812,276.14799999999997,274.975,274.964,274.431,271.397,267.485,263.11400000000003,257.205,250.197,242.46599999999998,235.05599999999998,227.889,218.43400000000003,206.877,208.493,208.967,206.65599999999998,206.035,205.32,200.75099999999998,201.30599999999998,201.268,201.34799999999998,201.872,202.18900000000002,198.94400000000002,196.575,195.36,192.658,190.87900000000002,188.607,186.055,183.513,180.713,179.079,177.33700000000002,175.46400000000003,174.06799999999998,175.611,177.727,178.665,178.435,177.158,178.861,179.898,179.81,179.515,180.046,182.197,185.388,194.502,204.19099999999997,213.415,221.03900000000002,227.93200000000002,235.232,242.71,246.94,252.217,260.936,268.389,273.247,275.812
23,-5.74468e+00,279.01599999999996,279.884,278.92900000000003,277.491,276.376,273.594,269.365,264.676,259.096,252.24400000000003,244.498,236.511,227.571,216.422,205.185,202.843,205.519,202.56799999999998,204.768,199.93,195.235,203.264,204.12099999999998,202.868,201.623,201.918,200.495,198.489,196.976,194.96900000000002,192.78099999999998,190.537,188.812,184.217,177.87599999999998,175.93,171.87900000000002,165.96599999999998,166.704,173.364,176.86900000000003,178.28799999999998,178.12,178.829,180.13299999999998,180.451,180.949,180.755,180.88099999999997,183.96200000000002,189.05900000000003,197.55,204.99,212.94400000000002,220.581,227.96200000000002,236.92700000000002,246.65599999999998,252.481,258.70599999999996,266.254,273.277,277.597,279.01599999999996
24,-1.91489e+00,281.124,281.69,280.568,279.541,278.313,274.95599999999996,271.031,266.189,260.85200000000003,254.222,246.176,237.997,228.459,218.105,205.94099999999997,196.403,195.2,196.27,196.705,189.2,192.12599999999998,203.743,204.56,201.513,200.87599999999998,202.08,201.394,199.52599999999998,198.49599999999998,196.639,194.283,192.268,192.18400000000003,185.174,171.54,166.86599999999999,163.237,157.873,160.202,167.356,172.998,178.525,180.891,182.391,182.503,181.44,181.565,181.503,181.53599999999997,186.125,193.003,199.045,205.40400000000002,214.09599999999998,222.29,228.49400000000003,237.798,249.63099999999997,258.375,265.35,270.666,276.128,279.69,281.124
25,1.91489e+00,282.473,282.644,281.259,280.981,279.595,275.441,272.399,267.66,262.578,256.334,248.19,239.97799999999998,230.345,220.58900000000003,208.835,195.99,189.19099999999997,191.365,188.144,183.75900000000001,194.108,201.97099999999998,202.748,200.78099999999998,201.128,203.268,203.753,201.762,200.732,198.19400000000002,195.68599999999998,194.588,194.547,187.16400000000002,170.69099999999997,161.311,159.791,157.995,157.707,158.77100000000002,165.012,177.424,183.19799999999998,183.835,183.554,183.588,186.021,186.93099999999998,185.497,189.31900000000002,195.77200000000002,200.05,207.18599999999998,216.118,224.551,230.41299999999998,238.938,250.203,260.93,268.589,274.002,278.048,281.041,282.473
26,5.74468e+00,283.231,283.247,282.259,282.098,280.215,275.842,273.361,268.82599999999996,264.302,258.069,249.915,242.32,232.926,222.69099999999997,211.553,198.705,188.757,184.843,184.02700000000002,188.52200000000002,199.247,203.062,201.868,201.36599999999999,201.46400000000003,203.764,204.549,202.985,202.62,198.873,194.856,193.86900000000003,191.745,185.283,171.158,160.63,158.461,157.629,157.143,155.947,158.688,173.053,182.19299999999998,183.803,182.748,186.50099999999998,190.433,192.196,191.888,192.87599999999998,196.472,201.34099999999998,209.155,217.697,226.51,231.84799999999998,238.38400000000001,247.99099999999999,257.621,267.183,274.508,278.92,281.827,283.231
27,9.57447e+00,283.824,284.275,283.572,282.82599999999996,280.119,276.16200000000003,274.085,269.994,265.308,259.0,251.44400000000002,244.06900000000002,234.447,223.253,213.575,201.607,190.551,184.801,186.766,195.197,202.02599999999998,204.877,203.149,203.071,203.342,204.357,203.484,201.752,202.215,198.83900000000003,194.085,191.108,185.667,178.891,168.41,161.08100000000002,158.862,158.14,157.701,156.278,157.268,169.894,180.77200000000002,182.75099999999998,182.433,188.34,189.91299999999998,190.675,193.92700000000002,194.947,197.516,203.403,210.921,218.925,227.555,233.07,239.285,247.00400000000002,252.86900000000003,261.57599999999996,270.07,278.279,282.363,283.824
28,1.34043e+01,284.33,285.257,284.618,283.532,280.39599999999996,276.775,274.785,269.83,264.501,259.856,252.75799999999998,244.692,235.525,224.856,215.222,204.047,192.517,185.88,189.333,199.11,203.205,205.63099999999997,204.28099999999998,204.393,204.45,204.115,202.672,200.607,199.99,196.56799999999998,191.68,186.953,178.968,169.97799999999998,163.816,161.60399999999998,160.19,158.921,157.954,155.859,158.429,170.72,182.058,183.766,184.14,187.88099999999997,187.437,187.41,191.68099999999998,194.78799999999998,198.842,204.97,212.399,220.489,228.74099999999999,235.76,245.75099999999998,252.488,253.234,256.952,263.855,274.024,282.54200000000003,284.33
29,1.72340e+01,284.625,285.704,285.051,284.164,281.154,277.236,274.783,268.78700000000003,261.84,259.619,253.54,244.949,236.53799999999998,227.155,216.778,205.61900000000003,193.798,185.94299999999998,187.91,197.59,200.829,204.58900000000003,206.265,205.998,206.06099999999998,206.132,204.649,201.706,198.571,193.641,187.903,181.78900000000002,174.05700000000002,165.416,161.44799999999998,160.77700000000002,160.14,158.93200000000002,157.558,155.334,160.07,173.28,185.203,186.81400000000002,186.014,187.666,186.043,185.68400000000003,189.321,194.092,199.553,205.708,213.50900000000001,222.44299999999998,229.669,238.983,254.355,260.405,256.45099999999996,256.204,261.305,269.806,281.71299999999997,284.625
30,2.10638e+01,284.837,285.534,285.10200000000003,284.093,281.879,277.375,274.16900000000004,268.781,261.476,259.373,253.47799999999998,245.513,237.53400000000002,228.817,218.143,206.95,195.05,186.011,185.162,193.415,199.16299999999998,204.33900000000003,207.326,207.227,207.835,208.622,207.22099999999998,204.101,198.972,192.28799999999998,185.578,179.049,171.479,163.616,160.263,159.42600000000002,158.378,157.94799999999998,157.363,156.043,162.29,174.02900000000002,185.857,188.234,186.50099999999998,188.115,185.235,184.44099999999997,188.52900000000002,193.72400000000002,199.63099999999997,206.202,214.072,223.27700000000002,230.215,241.24400000000003,258.072,263.512,259.444,257.638,262.151,269.757,280.26599999999996,284.837
