,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-5.55319e+01,546.18,559.8430000000001,525.567,525.648,496.153,563.93,514.689,467.23400000000004,494.991,500.667,499.045,514.263,473.561,481.285,471.171,499.281,483.74800000000005,544.6080000000001,572.865,483.25,477.93199999999996,565.4159999999999,713.9639999999999,682.257,840.368,767.0830000000001,549.4680000000001,610.116,533.101,518.434,507.74800000000005,484.474,525.186,516.2869999999999,519.624,519.9580000000001,478.001,518.419,558.26,600.793,622.097,652.9630000000001,730.552,751.076,760.691,847.5189999999999,653.3330000000001,626.819,595.883,551.3330000000001,521.612,460.43199999999996,487.846,553.388,502.92900000000003,524.807,561.028,527.825,473.375,523.905,478.25800000000004,487.30699999999996,543.582,546.18
11,-5.17021e+01,561.401,498.82599999999996,484.815,542.913,508.63199999999995,529.759,504.978,509.88699999999994,458.25199999999995,472.805,512.893,521.378,516.195,521.464,441.97900000000004,466.996,519.188,646.465,486.963,516.149,602.665,492.44800000000004,608.887,835.528,826.6510000000001,812.801,855.883,583.0880000000001,578.811,540.6619999999999,622.8580000000001,530.726,532.592,568.794,510.9,486.19199999999995,548.716,488.985,566.8919999999999,653.474,747.316,889.2139999999999,1096.07,1146.91,1122.23,1100.06,992.8560000000001,703.933,557.012,564.952,553.018,569.007,514.596,544.673,505.42900000000003,529.901,572.988,562.674,530.151,490.222,492.398,488.77,528.553,561.401
12,-4.78723e+01,501.26599999999996,493.93800000000005,605.742,552.68,474.655,482.45099999999996,483.23400000000004,522.82,466.838,477.491,512.276,508.095,457.27,472.73199999999997,453.353,471.754,504.59,505.746,477.667,445.649,453.61800000000005,528.68,636.242,890.5989999999999,859.685,854.2360000000001,629.236,686.2280000000001,652.786,583.327,504.61199999999997,525.231,526.125,484.202,497.38199999999995,473.532,512.13,568.32,581.63,617.644,993.352,1166.7,1311.21,1234.72,1170.54,1181.15,1154.94,1130.85,733.64,631.719,468.19,573.008,544.121,546.073,543.4680000000001,509.611,537.806,493.903,574.747,587.094,565.198,516.8330000000001,492.94800000000004,501.26599999999996
13,-4.40426e+01,522.058,549.739,579.944,544.7719999999999,442.901,484.404,502.264,494.469,491.805,498.065,497.592,496.845,479.615,480.555,497.98,491.394,483.36800000000005,458.866,440.099,447.44199999999995,472.99,554.225,586.3480000000001,627.33,826.9,819.455,707.7460000000001,543.761,550.117,515.3919999999999,552.143,537.023,545.0369999999999,522.087,510.224,467.93699999999995,505.48800000000006,537.315,558.398,535.854,1083.07,1211.97,1284.74,1201.52,1209.96,1203.87,1145.46,1112.61,913.9019999999999,672.319,644.514,573.07,531.059,580.398,535.19,510.10400000000004,472.155,548.3240000000001,577.798,582.315,553.88,519.518,527.688,522.058
14,-4.02128e+01,565.469,560.128,540.332,576.553,668.89,507.89099999999996,490.397,482.11300000000006,513.825,461.587,488.82300000000004,464.98699999999997,462.343,475.63699999999994,409.088,307.948,380.906,375.57300000000004,428.155,438.839,455.009,507.548,523.535,617.271,778.22,681.622,617.379,563.258,563.404,534.807,522.2090000000001,546.447,534.929,509.305,502.151,480.527,473.588,529.922,547.14,607.621,1133.7,1214.29,1279.25,1282.97,1192.9,1229.21,1165.93,1017.11,904.809,703.3489999999999,634.115,550.565,563.089,629.88,508.14599999999996,537.315,520.868,536.236,556.919,531.908,504.504,553.811,593.168,565.469
15,-3.63830e+01,612.82,545.92,577.405,463.75800000000004,490.32099999999997,552.771,542.987,524.687,534.9069999999999,521.138,453.885,429.175,436.64300000000003,378.74300000000005,370.655,393.559,380.33,384.119,361.855,479.965,472.284,465.85699999999997,505.63800000000003,659.77,530.819,630.631,564.61,593.644,557.385,534.722,534.4830000000001,526.436,552.808,526.34,520.854,490.144,520.759,483.05300000000005,562.93,580.595,932.3480000000001,1299.6,1222.57,1244.17,1220.93,1210.15,1074.18,917.7239999999999,803.5319999999999,757.3919999999999,574.817,569.874,599.328,589.749,570.893,555.705,532.627,554.129,558.655,570.883,577.923,555.319,611.776,612.82
16,-3.25532e+01,559.809,556.452,467.325,471.028,501.69,574.3969999999999,521.41,512.073,500.869,459.026,452.275,391.411,402.18699999999995,385.564,325.01599999999996,409.74,399.14,439.82199999999995,377.723,427.594,468.827,472.176,491.048,561.927,562.144,601.391,606.368,581.512,577.8,560.768,529.263,515.72,524.5930000000001,512.4780000000001,530.4490000000001,467.517,482.527,502.475,532.2769999999999,539.784,567.215,1025.66,1280.1,1203.37,1212.92,1022.99,910.83,778.648,785.318,712.814,562.847,541.6619999999999,563.127,559.712,501.30300000000005,486.991,487.319,559.425,535.0740000000001,575.822,561.922,567.672,575.965,559.809
17,-2.87234e+01,574.133,497.97,463.152,501.19199999999995,489.841,557.982,531.328,525.211,495.728,476.1,440.476,409.26199999999994,397.11300000000006,383.48900000000003,293.598,405.332,437.019,457.163,457.411,426.98,440.184,501.75800000000004,565.432,565.486,580.7769999999999,577.638,572.692,587.558,604.881,577.502,532.5509999999999,504.17800000000005,534.552,530.794,513.743,513.0509999999999,503.99,539.714,509.311,587.214,543.061,666.7330000000001,773.3439999999999,1056.77,922.087,792.2719999999999,606.099,704.5369999999999,673.6569999999999,600.595,553.202,538.466,548.8530000000001,529.586,521.1759999999999,508.88,490.12800000000004,555.14,527.488,555.841,550.9259999999999,525.285,551.045,574.133
18,-2.48936e+01,571.201,588.654,519.569,520.244,548.891,557.047,493.649,490.667,487.12,464.191,434.474,395.38599999999997,378.23900000000003,390.059,360.33,407.91,437.184,457.539,472.58099999999996,412.147,463.346,458.279,555.15,568.01,548.748,562.4730000000001,713.21,630.205,628.923,606.082,561.731,568.559,545.6080000000001,528.922,508.276,528.815,534.817,497.061,499.042,511.6,540.364,584.846,681.957,651.753,833.166,639.457,619.507,618.5419999999999,577.0509999999999,541.134,526.7669999999999,522.994,540.099,521.096,470.655,510.74300000000005,503.662,536.28,550.822,551.5419999999999,534.151,544.743,550.0,571.201
19,-2.10638e+01,546.669,533.111,539.754,596.262,557.039,558.205,534.283,507.969,478.69300000000004,454.461,402.574,368.082,363.536,346.731,358.486,389.36699999999996,418.31,446.791,470.814,443.418,445.815,428.87800000000004,542.052,546.057,556.965,584.697,640.567,628.874,658.449,632.143,653.237,583.675,560.364,541.217,517.3430000000001,523.4159999999999,478.603,534.962,471.81,480.233,508.962,548.5459999999999,660.796,661.3810000000001,636.1080000000001,569.628,557.39,537.4730000000001,458.86400000000003,485.795,487.346,533.76,523.808,498.911,543.854,528.064,516.614,488.07199999999995,551.747,521.887,611.6469999999999,556.151,543.982,546.669
